text,line,length,shot
"short ball, gets under it as the ball climbs over middle and leg",Middle Stump,Short,Unknown
"short of a length on off, stays legside of it and opens the face to point",Off Stump,Short,Unknown
"<b>in the air and in no man's land</b>. Backs away to a shortish ball. All that does is tuck him up. And along with the lack of room, it results in a mistimed pull that goes in the air off the top-edge before landing in square leg. Midwicket gets around it",Unknown,Unknown,Pull
"full outside off, driven to covers",Outside Off,Full,Drive
"<b>appeal for lbw, not given</b>. The angle seems very sharp but Sri Lanka are reviewing this. Cross-seamer, cuts in from a short of a length and beats his attempted whip to hit him in front of leg. But given the way it has drifted in, this seems unlikely to hit the stumps. Indeed, missing leg. SL lose their review",Unknown,Short,Cut
"full and tight on off, defended back to the bowler",Off Stump,Full,Defend
"short of a length, cuts in, waits before turning it away to short fine leg",Unknown,Short,Cut
short of a length. Sri Lanka's bowlers are offering no pace here. Jumps and slaps it past the left of the cover fielder to the sweeper,Unknown,Short,Unknown
"short of a length, jumps up and tucks it to deep backward square leg for one",Unknown,Short,Unknown
"short of a length, walks across off and looks to heave it over the keeper. Misses",Unknown,Short,Unknown
"short again, but the lack of pace is messing up their timing. Pulled in the air and one-bounce to deep square leg",Unknown,Short,Pull
"slower short ball, gets up well over off",Unknown,Short,Unknown
"<b>oh, brilliant catch</b>. That's as good a take as you'll ever see. Waller responds to a dipping full toss from outside off by getting down on one knee and heaving a sweep. Deep backward square leg runs to his left and slides across just in time to get behind the line and snaffle a lovely catch. And it's Tharanga with the terrific catch",Outside Off,Full,Sweep
"full outside off, driven down to long-off",Outside Off,Full,Drive
sprayed down the leg side,Down Leg,Unknown,Unknown
"ooh, what happened there? A length ball that cuts in like an off-break to hit him high on the front leg before lobbing away behind square on the off side",Unknown,Unknown,Cut
"full and angling in on middle and leg, clipped wide of mid-on",Middle Stump,Full,Unknown
"full, around the fifth-stump channel, and it's a lovely stroke. Drives very late behind square on the off side by opening the face of his bat",Unknown,Full,Drive
"fullish outside off, driven to point",Outside Off,Unknown,Drive
"length around off, defended back",Unknown,Unknown,Defend
"length ball outside off, defended",Outside Off,Unknown,Defend
"short of a length in the corridor of uncertainty, holds its line and Moor sticks the bat out to get beaten",Unknown,Short,Unknown
"full outside off, leans forward and pushes it out to mid-off",Outside Off,Full,Unknown
"good length, spinning in, swivels around and pulls it away through square leg. <b>Fifty for Raza</b>. He is key to their surge now",Unknown,Good Length,Pull
"looped up on leg, hits the pad as it goes to short fine leg and they take on the fielder there for a leg bye",Unknown,Short,Unknown
"shortish, leg side line again, pulled out to deep square leg",Down Leg,Unknown,Pull
"legbreak, spins the other way from middle, pushed into the covers",Middle Stump,Unknown,Unknown
"<b>run out chance missed</b>. He's confused by the spin on this one and gets hit on the pad as the ball lobs towards point. They steal a legbye and Dananjaya fails to collect the throw from Chandimal, who moved to his right, with the batsman a good distace away from the crease",Unknown,Unknown,Loft/Smash
"poor delivery, drifts a back of a length delivery down the legside and it's tucked off the pads to deep fine leg",Unknown,Good Length,Unknown
"short ball, catches him off guard, gets up and arches his back but it climbs significantly to hit him on the arm",Unknown,Short,Loft/Smash
"these are easy runs that are being gifted here. Again on the pads, back of a length, and it's been whipped off the pads through backward square leg",Unknown,Short,Unknown
"now he delivers one on off but the length is predictable. He isn't changing it up and Raza advances down, makes some room and slaps it through extra cover",Off Stump,Unknown,Unknown
<b>in the air and safe!</b> Moor looks to pull and gets a top-edge as he's tucked up. It lands in square leg with a man from the deep running in and midwicket running across. Lands in between both,Unknown,Unknown,Pull
"that's a ridiculous shot. A slower back of a length ball, it's a legcutter, he picks it early and just slaps it straight over with a flat bat. Over long-on",Unknown,Short,Unknown
Sri Lanka are not pleased with this call. It's the slower bouncer and it goes over the helmet and bat as Moor is crouching. Seems a fair call in the end,Unknown,Short,Unknown
"very full outside off, fetches it from outside off and whips it through deep midwicket",Outside Off,Full,Unknown
"full and wide, driven to cover who misfields. lets the ball go through and they take a brace",Unknown,Full,Drive
"full on middle and leg, tries to heave it away and gets an inside edge to backward square leg",Middle Stump,Full,Unknown
"in the blockhole, angling in on leg, dug out into the off side",Unknown,Yorker,Unknown
"full toss, backs away and makes room and crunches a drive to the right of sweeper cover",Unknown,Full,Drive
"another full toss, slips out of the hand and Raza slashes it out to third man. Very poor bowling",Unknown,Full,Unknown
"full outside off, stays put in the crease and swings away from his body and misses",Outside Off,Full,Unknown
"short of a length, slower, pulled to deep midwicket",Unknown,Short,Pull
"down the leg side, gets down for a heave and gets hit on the pad as the ball goes to short fine leg",Down Leg,Short,Loft/Smash
goes for the big hit again and this one's skewed off the splice. He's expecting it to come into him but it comes straight on and lobs in the air at cover where Dananjaya gets around it and takes it on the second attempt.,Unknown,Unknown,Loft/Smash
"full and angling in on leg, he backs away but the ball follows him and he heaves it over mid-on. Gets lot of elevation but not the distance as the ball lands between the two fielders getting around it",Unknown,Full,Unknown
"extremely full outside off, crunches a drive to cover",Outside Off,Full,Drive
"wow, that kept very low. Flat and wide, and short. Keeps very low but Kusal slaps a drive past cover, wide long-off for four.",Unknown,Short,Drive
"flat and wide outside off, too much width, Kusal goes back and carves a cut through backward point",Outside Off,Unknown,Cut
"some spin, but too wide again. Short and wide yet again, a thick outside edge over the slip fielder for a couple of runs. Got to bring that line sraighter",Unknown,Short,Unknown
"there it is, full on middle and leg, skewed to midwicket",Middle Stump,Full,Unknown
"waft from Kusal. Short delivery, angling away, Kusal goes at the ball but it leaves the bat hanging",Unknown,Short,Leave
"a tad wider and Kusal slashes a punch through point. Back of a length delivery, just a scythe in the gap at point",Unknown,Good Length,Unknown
"that's what Jayasuriya used to do so effectively: pounce on even a little bit of width. Short and wide, he goes bottom to top and hits the ball over point for four.",Unknown,Short,Unknown
"poor line from Jarvis. Short down leg, nudged down to the fine leg boundary. Just a tickle and four. Zimbabwe have to adjust quickly",Down Leg,Short,Unknown
"much better, good length, or just fuller than that. Angles away and beats the bat. Tharanga's bat left hanging. Good end",Unknown,Good Length,Unknown
"nicely bowled, quick outside off, defended",Outside Off,Unknown,Defend
"flight outside off, driven to cover",Outside Off,Unknown,Drive
"pushed through, overpitched and quick, driven past cover for a couple to wide long-off",Unknown,Unknown,Drive
"76 kph, lots of flight on leg, driven to long-off",Unknown,Unknown,Drive
"and again, quick outside off, scythed away towards point",Outside Off,Unknown,Unknown
"flat outside off, 84 kph, outside-halved to third man",Outside Off,Unknown,Unknown
"edged but well short of wide slip. Full delivery, moving away, edged but dies in front",Unknown,Full,Unknown
"a tad short, a tad wide, Tharanga thinks there is a cut to play but the ball seams back in and goes past his shot",Unknown,Short,Cut
"short down leg, nudged to short fine leg, an offcutter. But good comeback over from Jarvis",Down Leg,Short,Unknown
"lovely from Kusal. A shimmy to the pitch, gets there and just chips the ball over long-on. Full face of the bat. Extended his shot",Unknown,Full,Unknown
"full on middle and leg, charges down and drives to long-off",Middle Stump,Full,Drive
"ooh, what happened there? A stumping missed? Or did the ball hit the stump, it did, <strong>it hit the leg stump with lots of force</strong> but it's a stubborn piece of equipment. Masakadza takes off the bail, weighs it and puts it back. Wow. Tharanga came down to the pitch and inside-halved the ball into his body, it ricocheted back but somehow Tharanga survives",Leg Stump,Unknown,Loft/Smash
"what a shot, flight on off, Tharanga clears his front leg and lofts the ball easily over cover",Off Stump,Unknown,Loft/Smash
"poor delivery. Short and wide, slashed through extra cover for four. Was aware that Kusal may come down, but he didn't. The batsmen won that battle",Unknown,Short,Unknown
"more shots. Dug in, short and angling away, slapped through wide mid-on. Dragged it away. Big vacant areas",Unknown,Short,Unknown
"128 kph, full delivery on off, pushed to mid-off",Off Stump,Full,Unknown
"127 kph, on a length around off, dabbed into the point region",Unknown,Good Length,Unknown
"and gone. Too many shots from Sri Lanka and they lose one. It's full outside off, he looks to flay a drive through the off side. Hard hands through the line, the ball lobs off the inside half to mid-on. A poor shot, it worked for a while but there were just too many, especially considering the start they had got",Outside Off,Full,Drive
"full around off, driven to mid-on",Unknown,Full,Drive
"full delivery, coming back in, sliced to point",Unknown,Full,Unknown
"full and wide outside off, pushed towards cover",Outside Off,Full,Unknown
"short and wide, 120 kph, poor delivery, chopped to point",Unknown,Short,Unknown
"Kusal picks out the fielder this time and Sri Lanka have lost another. His terrible form continues. Short delivery outside off, Kusal goes back, looking to pull but the ball is too close to him. All he manages is a stabbed pull to mid-on. Sri Lanka under pressure",Outside Off,Short,Pull
"good length delivery around off, 122 kph, pushed to mid-on",Unknown,Good Length,Unknown
"short and wide outside off, 130 kph, Kusal looks to crash a cut through the off side but extra bounce takes it over the bat",Outside Off,Short,Cut
"full and straight around off, defended to mid-off",Unknown,Full,Defend
too straight and whipped away for four. Nicely played from Kusal. Waited for Jarvis to come to him and then hit the gap and the boundary,Unknown,Unknown,Loft/Smash
"125 kph, a big appeal, no says the umpire. But Zimbabwe review. They want Mathews. It seemed a tad high, full around off, the ball seams back in, hits Mathews high on the front pad in front of off. No bat on that. Missing the stumps says HawkEye, rising over. <strong>The review is lost</strong>",Unknown,Full,Unknown
"good length on middle and leg, 127 kph, picks out short fine leg with a nudge",Middle Stump,Good Length,Unknown
"a tad short and straight, swatted away through midwicket for a run to deep square leg",Unknown,Short,Unknown
"good length delivery outside off, pushed back to the bowler from the crease",Outside Off,Good Length,Unknown
"shortish and still a tad wide outside off, 117 kph, pushed to mid-off",Outside Off,Unknown,Unknown
"beauty! Goes fuller outside off, and then the ball moves away ever so late to beat the bat. Mathews actually quite lucky that moved considerably",Outside Off,Unknown,Unknown
"full around off, worked into the midwicket region",Unknown,Full,Unknown
"129 kph, full around off, defended back",Unknown,Full,Defend
"slower ball on middle and off, defended nicely",Off Stump,Unknown,Defend
"wow, how is that six? A low-flying six. Short and not that wide, he makes room and gets so much bottom hand power on his cut that it flies and flies and keeps flying over point. The shot of the day",Unknown,Short,Cut
"shortish delivery on middle and leg, jammed away into the leg side.",Middle Stump,Unknown,Unknown
"129 kph, full on middle and leg, clipped down to short fine leg for a run. Opens his account",Middle Stump,Full,Unknown
"a slower delivery on middle, defended",Middle Stump,Unknown,Defend
"short around off, swatted away to midwicket. 49 off 30 for Kusal Perera, not too many wild shots.",Unknown,Short,Unknown
"123 kph, on the pads, nudged to short fine leg",Unknown,Short,Unknown
"good length on middle and leg, some seam movement back in, worked away into the leg side",Middle Stump,Good Length,Unknown
"on the pads, flicked into the gap behind square for a couple. <strong>Kusal gets to fifty </strong>, a fine effort.",Unknown,Unknown,Flick
"short delivery around off, shovelled to deep square leg",Unknown,Short,Unknown
"full delivery outside off, Mathews strides forward and defends to cover",Outside Off,Full,Defend
"full delivery outside off, 119 kph, hit back to the bowler. Mathews cautious early, as he should be",Outside Off,Full,Loft/Smash
"full delivery outside off, overpitched, drilled to mid-off",Outside Off,Full,Unknown
"135 kph, full delivery outside off, right in the slot. Kusal swings and misses. He needn't be so aggressive",Outside Off,Full,Unknown
"that's better, good cricket. Short and wide, dabbed down to third man. Ervine dives to his right and saves three. Fine stop",Unknown,Short,Unknown
"130 kph, seam movement, inward shape. On a length outside off, the ball comes back in, takes the inside edge onto the pad",Outside Off,Good Length,Unknown
"short, the bouncer outside off, Mathews looks to drag the pull, makes no contact. Well bowled again",Outside Off,Short,Pull
"full delivery outside off, blocked to cover. A lot of shots for one run",Outside Off,Full,Defend
"124 kph, good length delivery around off, defended back",Unknown,Good Length,Defend
"strays on the pads, nudged nicely to short fine leg",Unknown,Short,Unknown
"well played. On a length around off, 128 kph, nudged to midwicket for one",Unknown,Good Length,Unknown
"full and wide, Mathews' feet is rooted in the crease, driven to cover. He is careful of that seaming delivery back in",Unknown,Full,Drive
"good length outside off, pushed towards wide mid-on. They aren't sure whether they want one, so Mathews decides against it",Outside Off,Good Length,Unknown
"short and wide from Muzarabani, slashed to deep point for one.",Unknown,Short,Unknown
"good length around off, worked away to midwicket",Unknown,Good Length,Unknown
"big inside edge into the body. Ouch! Good length delivery outside off, Mathews plays outside the line and wears the blow.",Outside Off,Good Length,Unknown
"a nice short delivery, around middle and leg, Mathews fails to connect. <strong>He is now 3 off 21 balls. </strong>",Middle Stump,Short,Unknown
"strays down leg this time, wide.",Down Leg,Unknown,Unknown
"good length around off, 121 kph, clipped to midwicket. Mathews has taken his time so far",Unknown,Good Length,Unknown
"full outside off, 128 kph, punched to cover from the crease",Outside Off,Full,Unknown
"on the pads this time, 125 kph, Perera misses a flick, struck on the pad but the ball is sliding down leg",Down Leg,Unknown,Flick
"good length on middle and leg, nudged away to midwicket, a good tight run",Middle Stump,Good Length,Unknown
"short and wide outside off, 125 kph, carved straight to point",Outside Off,Short,Unknown
"<strong>dropped!</strong> That flew again to deep backward point, who was placed right for that shot. Short and wide, slashed away in the air. The fielder comes in, but it's flat and quick to Mire. The ball pops out",Unknown,Short,Unknown
"shortish around middle and leg, worked down to fine leg. Mathews careful of not stepping on his stumps",Middle Stump,Unknown,Unknown
"full and wide outside off, Kusal doesn't move his feet, but goes through with a drive, beaten",Outside Off,Full,Drive
"better from Kusal. Responsible. Good length outside off, dabbed to deep point",Outside Off,Good Length,Unknown
"a nice slower delivery outside off, driven neatly to deep cover for a single",Outside Off,Unknown,Drive
"another good single. Short around off, defended towards cover for a run. Well placed",Unknown,Short,Defend
"a slower delivery outside off, pushed to mid-off. Early call of yes from Kusal, quality single",Outside Off,Unknown,Unknown
"slower delivery down leg, wide",Down Leg,Unknown,Unknown
"shortish delivery outside off, pulled through mid-on with decent timing. But he wanted it more towards midwicket",Outside Off,Unknown,Pull
"a slower delivery down leg, 121 kph, nudged to short fine leg",Down Leg,Short,Unknown
"a good short ball around off, 124 kph, Mathews gets underneath the ball",Unknown,Short,Unknown
"another short delivery around off, 120 kph, pulled to deep square leg for a single. Got on top of the bounce",Unknown,Short,Pull
"a slower ball on middle and leg, worked to midwicket",Middle Stump,Unknown,Unknown
"short ball outside off, rolls his wrists and controls a pull along the ground to deep square leg",Outside Off,Short,Pull
"fullish outside off, presses forward and drives it square of the wicket to deep point. The bowler has overstepped marginally",Outside Off,Unknown,Drive
"that's an unbelievable strike. Mathews maximises the free-hit. A full delivery, way outside off, fetches it from all the way there and slogs it clean and big over deep midwicket",Outside Off,Full,Loft/Smash
"was that deliberate? A length ball outside off. Yes, Mathews makes use of the vacant cordon and sticks the bat and slightly opens the face. A thick edge but intentional",Outside Off,Unknown,Unknown
"short ball, outside off, jumps to get on top of the bounce and pats it through backward point for one",Outside Off,Short,Unknown
"fullish, angles in from outside off, pushes to mid-on off the inside of the bat",Outside Off,Unknown,Unknown
"full on off, driven off the front foot to long-on",Off Stump,Full,Drive
"full, slides on middle, defended off the inside of the bat",Middle Stump,Full,Defend
"slightly back of a length, spins in, backs away and chops a cut into the surface as the ball keeps low",Unknown,Short,Cut
"short of a length, no room, again chops a cut into the surface",Unknown,Short,Cut
"similar length and now he finds the room he's looking for, cut through backward point",Unknown,Unknown,Cut
"spinning in from a length and kicking up, gets a glove to it as he tries to leave it",Unknown,Unknown,Leave
backs away but it spins in too sharply and he cannot free his arms on the cut to point,Unknown,Unknown,Cut
"slides on with the arm, backs away and tries to cut but misses",Unknown,Unknown,Cut
"length ball, spins into him and goes down the leg side",Down Leg,Unknown,Unknown
backs away and cuts this short of a length delivery through the covers. Superb timing and placement,Unknown,Good Length,Cut
"length ball, leg side line, misses Mathews' flick and trickles to short fine leg off the pad",Down Leg,Short,Flick
makes some room and forces a cut square of the wicket,Unknown,Unknown,Cut
"length ball, spinning in outside off and keeping low, nudged away to deep backward square leg",Outside Off,Unknown,Unknown
"short of a length, straightening around off, backs away and slaps to point",Unknown,Short,Unknown
"similar line and length, again cuts, this time to the left of deep point",Unknown,Unknown,Cut
"back of a length, spinning in, punched to covers",Unknown,Short,Unknown
<b>misses everything</b>. Perera blindly charges down the track and swings but the ball's too full and he can't get on top of it. It spins in sharply and gets well past the keeper. Not even half a chance at pulling off a stumping,Unknown,Full,Unknown
"fuller ball, inside-edges a flick",Unknown,Unknown,Flick
"floated up outside off, drilled to midwicket",Outside Off,Unknown,Unknown
"tries to make some room for a cut but just isn't finding it with the ball turning into him, pats it away to deep backward point",Unknown,Unknown,Cut
gives it too much air and sends down a low full toss that's shovelled to midwicket from one knee down,Unknown,Full,Unknown
"full on the stumps, clipped to midwicket",Unknown,Full,Unknown
"shot. Shovelled through midwicket. Back of a length, doesn't turn much, just slides into him and straightens around off. perera swings around and hammers a pull through deep midwicket",Unknown,Short,Pull
"slides it across Mathews' off-stump, he waits before opening the face to short third man",Unknown,Short,Unknown
"full outside off, driven down to long-on",Outside Off,Full,Drive
"full and accurate on middle, defended off the front foot",Middle Stump,Full,Defend
"loopy and pushed across around middle, driven down to wide long-off",Middle Stump,Unknown,Drive
"slid across around middle and off and spinning in, misses a flick and wears it on the pad",Off Stump,Unknown,Flick
"full and accurate on the stumps, defended down the pitch",Unknown,Full,Defend
"lands it at a slightly back of a length on middle and leg, punched down to long-on",Middle Stump,Short,Unknown
"length, slid across on middle and off, keeps a little low but he manages to stay in the crease and whip it to deep midwicket",Off Stump,Unknown,Unknown
"full toss on middle and off, flicked down to long-on",Off Stump,Full,Flick
"fullish on middle and off, presses forward and nudges it into the leg side",Off Stump,Unknown,Unknown
"<b>nice, smart catch</b>. Perera's been trying one shot too many and he finally loses his wicket. Tries to force a sweep and is really strangled for room as this one's slid into him and curves in sharply. And it's not full enough either which results in a top-edge that lobs towards short fine leg. Muzarabani moves across to his left and tumbles forward to take a nicely-judged catch",Unknown,Full,Sweep
"good length, spinning away outside off, presses forward and drops it into the off side",Outside Off,Good Length,Unknown
"looped up on leg, drilled down to long-on where the fielder makes a save on the second attempt. Moves to his left and sticks the left hand out to flick it back even as the momentum carries him over the ropes",Unknown,Unknown,Flick
"full on off, driven into the covers",Off Stump,Full,Drive
"looped up outside off and gets it to turn away, reaches out and drives it down to long-off",Outside Off,Unknown,Drive
"comes forward looking for a flick. This is the googly, spins into him and hits the pad. Would have gone down leg with the drift and turn",Down Leg,Unknown,Flick
"fuller outside off, pushed out into the off side on the front foot",Outside Off,Unknown,Unknown
"short of a length outside off, drops into the covers and looks for a quick one but has to decide against it",Outside Off,Short,Unknown
"full and angling into the pads, flicked off them to deep midwicket",Unknown,Full,Flick
"short, outside off, slapped through the covers for one",Outside Off,Short,Unknown
"back of a length, angling into his middle and leg, nudged towards the midwicket region",Middle Stump,Short,Unknown
"good length outside off, takes a good stride forward and punches solidly into the covers. The bowler has overstepped by a big margin. He bowled four of them in the last game",Outside Off,Good Length,Unknown
"short of a length, Chandimal mistimes a pull and swings early as the ball takes the toe-end on its way to the keeper",Unknown,Short,Pull
"full and sliding into his legs, tries to flick and gets hit on the pad",Unknown,Full,Flick
"nicely tossed up outside off, driven with the spin to cover",Outside Off,Unknown,Drive
"slightly fuller and straighter, allows Mathews to drive with the spin to long-off",Unknown,Unknown,Drive
"looking for the big reverse sweep, but can only top-edge it over the slip fielder for a run. That one dropped late",Unknown,Unknown,Sweep
"more flight outside off, driven away with the turn to cover",Outside Off,Unknown,Drive
"short of a length, straightens from the fourth-stump channel and beats the outside edge",Unknown,Short,Unknown
"full and angling in on the pads, clipped out to mid-on",Unknown,Full,Unknown
"short of good length, flays a pull to midwicket where Raza makes a brilliant save diving to his left",Unknown,Good Length,Pull
gets some width outside off and he opens the face to run it down to third man,Outside Off,Unknown,Unknown
"short, outside off, arches back and dabs it down to third man with a flat bat",Outside Off,Short,Unknown
"short of a length outside off, gets on top of the bounce and taps it to backward point",Outside Off,Short,Unknown
"reverse sweep. A pitched up legbreak outside off, Chandimal heaves it through the third man region with the turn. <b>Brings up the 150 for his team</b>",Outside Off,Full,Sweep
"flighted on middle and leg, turns it away to midwicket",Middle Stump,Unknown,Unknown
"full, clipped off the pads through midwicket",Unknown,Full,Unknown
"full on the stumps again, drilled through midwicket again",Unknown,Full,Unknown
"short and wide outside off, slaps it out to deep point",Outside Off,Short,Unknown
"loopy slider on middle and leg, comes forward and turns it away through the midwicket region. Good over for Sri Lanka. Four off the first ball followed by a single off each of the rest. More of that",Middle Stump,Unknown,Unknown
sees a lot width outside off and opens up for a slap but finds extra cover,Outside Off,Unknown,Unknown
"short of a length, angled in at middle from wide of the crease, flicked behind square on the leg side",Middle Stump,Short,Flick
"fullish outside off, drops it into the covers from the crease",Outside Off,Unknown,Unknown
"fuller length on off, defends in front of off towards mid-off",Off Stump,Unknown,Defend
"short of good length, gets on top of the bounce and gets a glove as he drops it into the surface",Unknown,Good Length,Unknown
<b>Raza takes a brilliant catch</b>. Mathews doesn't get on top of this short ball and pulls without control. Hits it in the air and Raza from midwicket dives forward and takes a superb catch. Zimbabwe soaring,Unknown,Short,Pull
"short and wide, slapped over the point fielder. Point jumps up with his left hand outstretched but the ball goes just over it",Unknown,Short,Unknown
"good length, angling in towards middle and off, flicked to midwicket",Off Stump,Good Length,Flick
"short of a length outside off, stands tall and punches solidly into the covers",Outside Off,Short,Unknown
"cuts in from a short of a length ball, pushes it to point. Gunaratne sets off for a single and has to put in a dive to beat the throw",Unknown,Short,Cut
"shortish, chest-height delivery. Chandimal swivels around and heaves a pull over deep square leg",Unknown,Unknown,Pull
"short of a length outside off, punched to the right of sweeper cover and they come back for the second.Twelve off the over. They need a few more like this",Outside Off,Short,Unknown
"slants this across around off and gets it to spin in, cut to backward point",Unknown,Unknown,Cut
"good length, pitching outside leg and spinning further down that line",Unknown,Good Length,Unknown
throws hard hands at a cut and gets a thick outside edge that flies to the left of short third man,Unknown,Short,Cut
stays back to a length ball and flicks through midwicket,Unknown,Unknown,Flick
"short of a length, flat, punched down the ground to long-on",Unknown,Short,Unknown
"fullish, down the leg side, Gunaratne tries to flick and makes no contact as it's too full",Down Leg,Full,Flick
clipped off the pads to short fine leg,Unknown,Short,Unknown
"a slower delivery outside off, carved away to point",Outside Off,Unknown,Unknown
"ooh, it has clipped the off stump and Chandimal is bowled! Or is he? Chaos. It was a good length delivery that kept very low, Chandimal missed a clip, and the ball found a way between his bat and pad. The ball hit the off stump but the bail on middle and leg stump fell off. So that will be out. Tharanga's good luck, Chandimal's bad",Off Stump,Good Length,Loft/Smash
"shortish delivery outside off, dabbed down to third man with the open face",Outside Off,Unknown,Unknown
"off the bat, 126 kph, drifts down leg, Thisara gets just a bit of bat on his flick, the ball races past the keeper for four",Down Leg,Unknown,Flick
"short outside off, pulled into the gap at midwicket for a run",Outside Off,Short,Pull
"drifts down leg, nudged to short fine leg",Down Leg,Short,Unknown
"short down leg, 93 kph, pulled away to deep backward square leg",Down Leg,Short,Pull
"short outside off, 89 kph, smashed to long-off from the back foot",Outside Off,Short,Unknown
"overpitched outside off, skewed to midwicket from the crease",Outside Off,Unknown,Unknown
"short down leg, sits up but Gunaratne misses a pull, struck on the pad, lobs up towards fine leg",Down Leg,Short,Pull
"full on middle and leg, defended to long-on. Goes past the bowler",Middle Stump,Full,Defend
"short and wide outside off, carved away to deep cover point for a couple.",Outside Off,Short,Unknown
"flight down leg, 84 kph, outside-halved towards third man",Down Leg,Unknown,Unknown
"flight around middle and off, driven to cover",Off Stump,Unknown,Drive
"flight outside off, driven to long-off",Outside Off,Unknown,Drive
"off the inside edge to short leg. Flat on off, plays the line but there is some turn",Off Stump,Short,Unknown
"flat outside off, turning in. Dabbed to short third man",Outside Off,Short,Unknown
"short and wide outside off, carved away off the open face to deep point",Outside Off,Short,Unknown
"short and quick on middle and leg, nudged away to deep midwicket",Middle Stump,Short,Unknown
"clipped down to short fine leg, one more",Unknown,Short,Unknown
"short around off, sits up for Perera to swat to long-on for one",Unknown,Short,Unknown
"quick around off, Hasaranga stays back and defends",Unknown,Unknown,Defend
"edged, but no slip. Flat outside off, Thisara powers his hands through the line but the ball takes a thick edge and races away to the third man boundary",Outside Off,Unknown,Unknown
"shortish and wide, outside off, turning in, dabbed to third man",Outside Off,Unknown,Unknown
"the googly outside off, thick inside edge to short fine leg as he looked to drive",Outside Off,Short,Drive
"smashed for four. Sees flight, runs to the pitch and drills a drive right back at Cremer. No chance for the bowler with that power.",Unknown,Unknown,Drive
"the googly on middle and leg, inside-edged towards midwicket",Middle Stump,Unknown,Unknown
"massive! More flight, another invitation for Thisara to run to the pitch, get there and loft a straight drive over long-off. Very big hit",Unknown,Unknown,Drive
"quick delivery outside off, Hasaranga stays back and pushes to mid-off",Outside Off,Unknown,Unknown
"short and wide outside off, Thisara goes back and slaps the ball at the bowler. Good stop",Outside Off,Short,Unknown
"short and wide, worked away to long-on",Unknown,Short,Unknown
"comes down but Raza shortens the length, on middle and leg, spin takes the ball to the pad, and not bat",Middle Stump,Unknown,Unknown
"flat around middle and leg, worked away into the leg side",Middle Stump,Unknown,Unknown
"short down leg, pulled away to deep backward square leg",Down Leg,Short,Pull
"that's a big hit, and an important hit. Gets down to the pitch, and shovels a heave over midwicket for six. Just over the boundary",Unknown,Unknown,Loft/Smash
"and holes out next ball. There is clever, thinking game awareness and then there is this shot. He has just hit a six, the asking rate is around six, but he still comes down and takes on Zimbabwe's best spinner, the legbreak outside off, chipped to long-off. He didn't get to the pitch either",Outside Off,Unknown,Loft/Smash
"the googly on off, defended into the point region",Off Stump,Unknown,Defend
"six more. This is getting interesting. More flight, a googly outside off. Thisara gets to the pitch and lofts the ball over long-off, hit with the full face",Outside Off,Full,Loft/Smash
"another thick edge through third man for four. Flat and wide outside off, he gets to the pitch, but jams it away off the outside edge",Outside Off,Unknown,Unknown
"short and wide, dabbed to point. 17 runs and a wicket in that over",Unknown,Short,Unknown
"short outside off, Thisara goes back and clatters a pull to wide long-on",Outside Off,Short,Pull
"short and wide, 90 kph, cut to the sweeper cover",Unknown,Short,Cut
"flat outside off, slow, 83 kph, some turn takes the ball past the outside edge",Outside Off,Unknown,Unknown
"shortish delivery on middle, worked away to deep square leg",Middle Stump,Unknown,Unknown
"a short delivery around middle and leg, Dananjaya ducks underneath",Middle Stump,Short,Unknown
"shortish outside off, 133 kph, slashed down to third man. One more. Sri Lanka need 50",Outside Off,Unknown,Unknown
"well bowled, a bouncer on leg, the ball hits the glove and pops up",Unknown,Short,Unknown
"full delivery outside off, carved to point",Outside Off,Full,Unknown
"flight outside off, 84 kph, sliced away towards point",Outside Off,Unknown,Unknown
"strays down leg, wide",Down Leg,Unknown,Unknown
"flight on middle and leg, driven to long-off",Middle Stump,Unknown,Drive
another nice drive with the spin to long-off,Unknown,Unknown,Drive
"flat on middle and leg, 74 kph, skids on with the arm, beats the inside edge and hits Dananjaya in front of leg, but sliding down",Middle Stump,Unknown,Unknown
"short and wide, slapped to cover from the back foot",Unknown,Short,Unknown
"into the gap and four. Short delivery on middle and leg, Thisara backs away and slaps the ball through midwicket",Middle Stump,Short,Unknown
"full and wide, 126 kph, carved away towards point for a run",Unknown,Full,Unknown
"a short delivery around off, nudged towards midwicket. Dananjaya sends Thisara back",Unknown,Short,Unknown
"good length outside off, carved away to point",Outside Off,Good Length,Unknown
"a short delivery on middle, 130 kph, swatted away to deep square leg",Middle Stump,Short,Unknown
"full and wide outside off, Dananjaya goes after it, a thick inside edge past the stumps for one to fine leg",Outside Off,Full,Unknown
"strays down leg for a wide, 122 kph. Easy run",Down Leg,Unknown,Unknown
"a nice yorker around off, jammed out to point",Unknown,Yorker,Unknown
"short and wide, slapped away to the sweeper cover for one",Unknown,Short,Unknown
"a short slower ball drifts down leg, another free run. Can't keep erring",Down Leg,Short,Unknown
"juggled but taken at cover. A slower delivery outside off, the ball stops on Dananjaya, as he looks to drive over the infield. The ball lobs away towards cover, who backtracks and keeps his eyes on the ball. The ball pops out of Cremer's hands, but he takes the parry. But has he overstepped? Yikes, nothing behind the line, according to me. A no-ball for me. But he's been given. Hmm. Interesting.",Outside Off,Unknown,Drive
"full delivery outside off, 126 kph, inside-edged to fine leg. Just one",Outside Off,Full,Unknown
